FBID_KEY;2e;4e;6e;8e;10e;12e;14e;16e;18e;20e;22e;24e;L1;L2;L312hr;L3dark;L3light;L3clear;WPP12;WPP122;WPP24;pup2;pup3;pup4
FBgn0259975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33,4075
FBgn0023415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,2487;6,93833;3,9697;75,7248
FBgn0035988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,16034;21,999;64,3627;64,9845;59,2073;118,609;177,006;240,962;224,144;337,982
FBgn0011559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,2037
FBgn0034144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,5816;45,3684;56,5502;53,7645;106,5;160,6;207,841;235,889;237,828
FBgn0020509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125,858
FBgn0051538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,28898;13,3419;38,2899;46,2166;40,2744;82,3143;137,916;170,518;180,679;217,992
FBgn0033512;0;0;0,101704;0;0;0;0;0;0;0;0;0;0;0;0,48752;13,0941;31,4615;40,7952;36,9498;68,9448;104,692;135,026;151,26;155,635
FBgn0086915;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,2463;50,4582;72,0573;68,3985;125,799;181,1;205,517;224,578;149,701
FBgn0028567;0;0;0;0,0851585;0;0;0;0;0;0;0;0;0;0,0912133;0,0651611;12,2996;28,6419;43,6012;35,5905;72,5681;113,655;145,939;139,962;105,305
FBgn0263597;0;0;0;0;0,494753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,518785;0;0;0;1,87357
FBgn0259952;0;0;0;0;0,0976981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,13935
FBgn0028513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,25218;22,2573;28,6058;24,6087;46,9541;69,9063;99,1392;109,907;95,5297
FBgn0038706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,00031;16,7717;21,9303;18,5229;39,4165;60,8106;77,3068;90,3587;94,4087
FBgn0036415;0;0;0;0;0;0;0;0;0;0;0;0;1,20587;1,61961;2,40059;29,1754;47,9299;62,1745;67,2842;109,239;161,842;175,277;134,533;82,6668
FBgn0032061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,68798;21,5674;27,7018;26,3385;47,4034;74,1502;94,2377;100,317;98,5941
FBgn0038175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,51511;15,6117;20,2459;19,6434;33,4117;52,6679;67,1564;75,0094;99,4249
FBgn0259794;0,0129861;0,103845;0,280532;0,132319;0,0665358;0;0,0244524;0,0109056;0;0,0375584;0;0,0100557;0,0197797;0,0157474;0,269992;6,84728;16,3226;21,3432;19,6515;38,6346;61,9623;76,1307;83,3387;98,727
FBgn0040093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25,3228
FBgn0040963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,0745;26,3046;35,9148;33,1393;59,272;86,4558;125,474;133,514;75,3522
FBgn0002856;0;0;0,0446922;0,0341438;0,0412172;0,0312516;0,0503874;0;0;0;0,0509811;0;0;0;0;0;0;0;0;0,245254;0;0;0;17,3745
FBgn0034601;0;0;0,0754887;0,0964325;0,139653;0;0;0,133524;0;0;0;0;0;0;0;4,97533;13,3089;17,6766;0;28,643;42,9518;55,9501;63,5009;88,3084
FBgn0032755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,6585;17,7565;26,2437;20,1914;37,9154;54,9786;74,7268;83,4054;66,2445
FBgn0031476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,7016;16,5012;0;28,8204;45,1185;57,833;66,737;85,9628
